# xi	alpha_0	alpha_0p5	alpha_1	alpha_2	alpha_5	alpha_10	alpha_100
0.6625	0.959169357677	0.996622385942	1.015408911698	1.033491167478	0.997338082798	0.985866701707	0.973231038678
0.6675	1.040860504038	1.007854483124	0.993135949346	1.000460637776	1.034543328125	1.025706727267	1.049773566305
0.6725	0.956915904156	1.007575011512	1.012490656348	1.036344216765	0.992992468385	0.987665081773	0.967950970443
0.6775	1.050966482713	0.998791617981	0.992599409125	0.990215597154	1.032363995971	1.012015410411	1.040628832742
0.6825	0.968072572816	1.015639763753	1.010619308748	1.040351454173	0.988438055681	0.991747535793	0.972406412637
0.6875	1.051560952047	0.99832583196	0.990636457097	0.985028234813	1.030641410077	1.008169239904	1.037158018657
0.6925	0.968556443204	1.016917348267	1.014584471846	1.039495539387	0.987681161879	0.995265534755	0.974117203976
0.6975	1.050468787457	1.003755566143	0.985074759682	0.985559939453	1.027783483481	1.008602426343	1.040370367863
0.7025	0.968114047421	1.021601824817	1.017725195091	1.036084848648	0.990251990826	0.995199900446	0.973624889922
0.7075	1.050925008108	1.007042684631	0.982562181086	0.986169454528	1.024768958167	1.011017768914	1.03880727074
0.7125	0.973547220635	1.024809094272	1.026008852652	1.033153988926	0.996411540386	0.995199900446	0.976517234992
0.7175	1.047067869873	1.015107436873	0.986618948611	0.986182422934	1.025317053679	1.019077662059	1.03772417982
0.7225	0.973312197875	1.024449773628	1.03638632571	1.024841240776	1.002075194006	0.995199900446	0.973994125463
0.7275	1.045878931205	1.020883183528	0.990139175916	0.986843811632	1.026883040855	1.018460699554	1.037441099239
0.7325	0.9726486042	1.017289977083	1.032447335306	1.013156707104	0.997755679379	0.990763021158	0.970141767986
0.7375	1.041980318365	1.018181624608	0.989772758204	0.990721364982	1.026843891175	1.015336506446	1.029207146677
0.7425	0.975372103241	1.008067413876	1.020591105053	1.007398734906	0.990747886766	0.987730716082	0.96882482789
0.7475	1.039021796564	1.015639763753	0.992089041598	0.995584517176	1.0300280651	1.013498745794	1.023040913144
0.7525	0.977971178468	1.003888647863	1.014505953764	1.004999579824	0.992274724262	0.991471871695	0.969969458067
0.7575	1.041012577589	1.014934430636	0.99453618846	0.995467801523	1.031437453559	1.013498745794	1.024727088781
0.7625	0.985892827963	1.007495162479	1.012686951551	1.004558654025	0.992300824049	0.986588679106	0.975114139937
0.7675	1.034431940312	1.017835612136	0.991526328683	0.997205567907	1.03094155762	1.019274564986	1.024419392497
0.7725	0.996565626235	1.007947640328	1.0091536379	1.008150902445	0.992770620201	0.980550322678	0.979680352792
0.7775	1.021796010751	1.023238729975	0.995517664474	0.999799249077	1.034425879086	1.027833278879	1.021711665197
