# xi	alpha_0	alpha_0p5	alpha_1	alpha_2	alpha_5	alpha_10	alpha_100
0.6275	1.037348987508	1.029498929649	1.027247986489	0.993377053539	1.025371098109	1.014911261826	1.035929915025
0.6325	0.96928916122	0.981009583377	0.988010949039	1.01243626589	1.006505468367	1.02125772941	0.994192799071
0.6375	1.040293684441	1.041014816174	1.028575604842	0.996947410076	1.017918793493	1.011399634893	1.040164656721
0.6425	0.96648271297	0.973239025687	0.982279844072	1.011592363436	1.004156786333	1.024437347978	0.990917101818
0.6475	1.038441152098	1.039815244661	1.022252986747	0.997505684008	1.012726301862	1.007441073623	1.041547175334
0.6525	0.965763819822	0.975025054384	0.984619607109	1.02095318912	1.006226165638	1.019725383112	0.990717819855
0.6575	1.035925026081	1.035496787214	1.027852644353	0.990261106016	1.012129609669	1.014208936439	1.038009920505
0.6625	0.959169357677	0.982808940646	0.988444725333	1.023342082222	1.012421607976	1.017260859483	0.987927872385
0.6675	1.040860504038	1.030232001129	1.034004380878	0.983964295396	1.011494830741	1.019112444593	1.032205833357
0.6725	0.956915904156	0.983821912146	0.991678330429	1.022718892717	1.008295544944	1.01595836513	0.984477803415
0.6775	1.050966482713	1.023607700663	1.030941657351	0.979459154602	1.009044584079	1.021142803438	1.028768219509
0.6825	0.968072572816	0.986061112304	0.998066672205	1.029898555135	1.008866845979	1.016558534096	0.98861290413
0.6875	1.051560952047	1.026060157978	1.027353144379	0.980523770006	1.00788928643	1.029353625685	1.03113469281
0.6925	0.968556443204	0.986620912343	0.994346711871	1.030703508245	1.006543555102	1.016162677969	0.990182249582
0.6975	1.050468787457	1.031151672623	1.030244986335	0.988742081598	1.010580749085	1.034499755335	1.033800089054
0.7025	0.968114047421	0.985887840863	0.994701619747	1.027340881543	0.995130229975	1.021423733592	0.986233975706
0.7075	1.050925008108	1.031511544076	1.03358374932	0.990014426837	1.011812220205	1.026697558768	1.034896139846
0.7125	0.973547220635	0.996590684474	1.006242698099	1.032014802828	0.991372338721	1.024884282315	0.985150380037
0.7175	1.047067869873	1.031351601208	1.035673762371	0.99071551503	1.015100375053	1.018831514438	1.037673632194
0.7225	0.973312197875	1.003694813546	1.010304421574	1.036610825425	0.986230629404	1.021755741957	0.983344387255
0.7275	1.045878931205	1.034710401445	1.041864933104	0.994922044186	1.015557415881	1.01575405229	1.030300199593
0.7325	0.9726486042	0.998563313185	1.004415579772	1.032728874135	0.978460935324	1.010390840247	0.978013594766
0.7375	1.041980318365	1.034283887129	1.044743630324	0.997051274994	1.008270153787	1.019597687587	1.024134913888
0.7425	0.975372103241	0.992645427053	0.996673330172	1.029067635796	0.977838851974	1.001950166055	0.979757311935
0.7475	1.039021796564	1.026366715143	1.044217840877	0.996129473851	1.006899031302	1.028485296116	1.025542342746
0.7525	0.977971178468	0.991032669797	0.993439725075	1.027977054162	0.984491335141	0.997723444183	0.98062917052
0.7575	1.041012577589	1.017503214518	1.0415363147	0.99232542125	1.008397109572	1.027412653707	1.025617073482
0.7625	0.985892827963	0.987767169567	0.995910935474	1.028782007273	0.98343760212	0.994990759952	0.981712766189
0.7675	1.034431940312	1.018622814597	1.035792064996	0.994870111727	1.010529966771	1.022087750322	1.024645573916
0.7725	0.996565626235	0.984368383613	0.993860356632	1.035702007397	0.980009795908	0.997710674631	0.987703680177
0.7775	1.021796010751	1.0188627289	1.031953802036	0.998505383838	1.016433410802	1.017337476798	1.021457062522
0.7825	0.997989587662	0.979929969015	0.989180830558	1.040414878026	0.985126114069	1.000826445437	0.99163949893
0.7875	1.018146245539	1.014917471479	1.027195407545	1.000582682187	1.020013563956	1.011118704738	1.02201754304
0.7925	0.998196960686	0.972399325628	0.985263699181	1.034429662159	0.987716012095	1.004772237154	0.992797825336
0.7975	1.01564394439	1.018009700268	1.022384434109	1.005736978715	1.015176548524	1.004376381027	1.020273825871
